,h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate,h_county,year,h_tract,paradise
84,60070001032023,15,2,12,1,3,6,6,0,0,0,1,0,1,2,0,0,0,2,0,0,0,5,1,0,1,1,1,14,0,0,1,0,0,15,0,0,6,2,5,5,10,20230321,6007,2013,600700010,0
85,60070001032024,37,11,23,3,8,13,16,2,0,1,0,0,0,5,0,0,0,0,0,0,0,8,16,0,3,1,1,35,1,1,0,0,0,33,4,4,9,6,7,15,22,20230321,6007,2013,600700010,0
86,60070001032025,47,8,29,10,12,15,20,1,0,0,0,2,0,0,0,0,3,0,2,1,3,11,11,2,5,3,3,40,3,1,2,0,1,34,13,3,12,14,10,21,26,20230321,6007,2013,600700010,0
87,60070001032026,7,0,7,0,1,4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,0,5,0,1,1,0,0,6,1,1,1,4,1,5,2,20230321,6007,2013,600700010,0
88,60070001032027,20,3,14,3,6,2,12,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,6,1,3,0,1,20,0,0,0,0,0,17,3,2,4,4,7,9,11,20230321,6007,2013,600700010,0
89,60070001032028,12,1,8,3,2,2,8,0,0,1,0,1,0,2,0,0,0,1,0,1,0,0,3,1,0,1,1,10,1,1,0,0,0,12,0,1,2,5,3,5,7,20230321,6007,2013,600700010,0
90,60070001041000,192,58,99,35,57,72,63,5,0,3,3,2,14,25,7,4,7,5,11,3,6,11,36,4,16,7,23,178,0,2,4,1,7,160,32,18,30,39,47,98,94,20230321,6007,2013,600700010,0
91,60070001041001,84,21,45,18,16,28,40,2,0,1,3,1,4,17,3,0,2,1,5,2,3,6,10,0,10,2,12,79,0,5,0,0,0,60,24,9,12,20,22,49,35,20230321,6007,2013,600700010,0
92,60070001041002,231,47,135,49,67,83,81,6,0,2,4,5,9,47,7,3,8,3,6,3,16,19,43,3,25,8,14,207,4,1,15,0,4,189,42,19,57,49,59,112,119,20230321,6007,2013,600700010,0
93,60070001041003,10,3,5,2,5,4,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2,0,1,1,1,7,0,1,1,0,1,7,3,2,2,3,0,7,3,20230321,6007,2013,600700010,0
94,60070001041004,12,3,8,1,5,3,4,0,0,0,1,1,0,2,0,0,0,1,0,0,1,3,2,0,1,0,0,9,0,0,3,0,0,12,0,2,3,2,2,4,8,20230321,6007,2013,600700010,0
95,60070001041005,113,28,65,20,38,40,35,2,0,1,1,4,5,9,0,0,4,5,6,1,6,14,22,5,19,5,4,91,5,8,6,0,3,96,17,7,27,24,27,53,60,20230321,6007,2013,600700010,0
96,60070001041006,37,11,20,6,9,17,11,2,0,0,2,1,0,4,0,0,0,1,4,0,2,9,5,0,3,1,3,34,0,1,0,1,1,30,7,4,6,5,11,13,24,20230321,6007,2013,600700010,0
